S.No,High Tension / Low Tension,Consumers Category,Consumers as on 31-03-2019,Connected Load as on 31-03-2019 (in MW)
1,High Tension, High Tension Supply,10000,9611.71
2,Low Tension,Domestic,20754000,30874.07
3,Low Tension,Public Lighting and Water Supply,737000,1426.98
4,Low Tension,Industries,724000,11892.29
5,Low Tension,Agriculture,2117000,9449.46
6,Low Tension,Huts,1121000,209.81
7,Low Tension,Recognised Educational Institutions and Private Educational Institutions,101000,495.31
8,Low Tension,Commercial,3544000,9126.3
9,Low Tension,Others,490000,918.07
Total,Total,Total,29598000,74004
