Sl.No,Tariff,Consumers,Consumers as on 31-03-2017,Connected Load As on 31-03-2017 (MW)
1,(I to V),H.T. (Including sale to traders),9000,9039.92
2,I-A,LT - Domestic,19571000,27712.53
3,I-B,LT - Huts,1125000,214.97
4,I-C,LT - Bulk Supply,1000,3.1
5,II-A,LT - Public Lighting & Water Supply,717000,1332.27
6,"II-B1, II-B2",LT - Recognised Educational Institutions & Private Educational Institutions,100000,479.3
7,II-C,LT - Actual places of public worship,123000,149.43
8,III-A(1),LT - Cottage and Tiny Industries,139000,553.96
9,III-A(2),LT - Power looms,153000,624.15
10,III-B,LT - Industries,367000,9512.17
11,IV.,LT - Agriculture,2073000,8657.73
12,V.,LT - Commercial,3349000,8273.06
13,VI,LT - Temporary Supply ,199000,412.37
Total,All Tariffs,Total Consumers,27926000,66964.96
