"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"SUM Monitored
Capacity
(MW)",SUM Target,,
BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.83,480.00,0.00,0.00,0.83
KOVIKALPAL CCPP,,,107.88,140.00,12.00,18.29,KOVIKALPAL CCPP,,,107.88,140.00,12.00,10.86,KOVIKALPAL CCPP,,,107.88,140.00,12.00,13.60,KOVIKALPAL CCPP,,,107.88,120.00,10.00,14.85,431.52,540.00,46.00,57.60
KUTTALAM CCPP,,,100.00,370.00,32.00,40.90,KUTTALAM CCPP,,,100.00,370.00,28.00,34.84,KUTTALAM CCPP,,,100.00,370.00,32.00,20.48,KUTTALAM CCPP,,,100.00,349.00,30.00,22.43,400.00,1459.00,122.00,118.65
VALUTHUR CCPP,,,186.20,1000.00,85.00,93.47,VALUTHUR CCPP,,,186.20,1000.00,77.00,86.29,VALUTHUR CCPP,,,186.20,1000.00,84.00,105.36,VALUTHUR CCPP,,,186.20,996.00,86.00,96.14,744.80,3996.00,332.00,381.26
TANGEDCO,NATURAL GAS,,514.08,1510.00,129.00,152.66,TANGEDCO,NATURAL GAS,,514.08,1510.00,117.00,131.99,TANGEDCO,NATURAL GAS,,514.08,1510.00,128.00,139.44,TANGEDCO,NATURAL GAS,,514.08,1465.00,126.00,134.25,2056.32,5995.00,500.00,558.34
STATE SECTOR,NATURAL GAS,,514.08,1510.00,129.00,152.66,STATE SECTOR,NATURAL GAS,,514.08,1510.00,117.00,131.99,STATE SECTOR,NATURAL GAS,,514.08,1510.00,128.00,139.44,STATE SECTOR,NATURAL GAS,,514.08,1465.00,126.00,134.25,2056.32,5995.00,500.00,558.34
ALIYAR  HPS,,,60.00,133.00,10.00,0.00,ALIYAR  HPS,,,60.00,133.00,9.00,5.21,ALIYAR  HPS,,,60.00,133.00,9.00,17.43,ALIYAR  HPS,,,60.00,120.00,10.00,8.24,240.00,519.00,38.00,30.88
BHAWANI BARRAGE-II HPS,,,30.00,70.00,7.00,8.43,BHAWANI BARRAGE-II HPS,,,30.00,70.00,0.00,1.46,BHAWANI BARRAGE-II HPS,,,30.00,70.00,0.00,0.43,BHAWANI BARRAGE-II HPS,,,30.00,58.00,1.00,1.31,120.00,268.00,8.00,11.63
BHAWANI BARRAGE-III HPS,,,30.00,51.00,8.00,7.12,BHAWANI BARRAGE-III HPS,,,30.00,51.00,0.00,0.00,BHAWANI BARRAGE-III HPS,,,30.00,51.00,0.00,0.00,BHAWANI BARRAGE-III HPS,,,30.00,29.00,0.00,0.00,120.00,182.00,8.00,7.12
BHAWANI KATTAL,,,30.00,71.00,6.00,6.66,BHAWANI KATTAL,,,30.00,71.00,1.00,1.01,BHAWANI KATTAL,,,30.00,71.00,1.00,0.41,BHAWANI KATTAL,,,30.00,55.00,1.00,2.53,120.00,268.00,9.00,10.61
KADAMPARI HPS,,,400.00,378.00,31.00,36.24,KADAMPARI HPS,,,400.00,378.00,31.00,28.73,KADAMPARI HPS,,,400.00,378.00,16.00,35.16,KADAMPARI HPS,,,400.00,378.00,16.00,30.12,1600.00,1512.00,94.00,130.25
KODAYAR-I HPS,,,60.00,40.00,8.00,25.87,KODAYAR-I HPS,,,60.00,40.00,4.00,19.77,KODAYAR-I HPS,,,60.00,40.00,2.00,24.10,KODAYAR-I HPS,,,60.00,0.00,0.00,21.12,240.00,120.00,14.00,90.86
KODAYAR-II HPS,,,40.00,80.00,8.00,0.00,KODAYAR-II HPS,,,40.00,80.00,6.00,0.00,KODAYAR-II HPS,,,40.00,80.00,6.00,2.16,KODAYAR-II HPS,,,40.00,60.00,0.00,5.32,160.00,300.00,20.00,7.48
KUNDAH-I HPS,,,60.00,242.00,17.00,23.26,KUNDAH-I HPS,,,60.00,242.00,17.00,25.15,KUNDAH-I HPS,,,60.00,242.00,19.00,27.56,KUNDAH-I HPS,,,60.00,212.00,16.00,17.25,240.00,938.00,69.00,93.22
KUNDAH-II HPS,,,175.00,562.00,34.00,58.18,KUNDAH-II HPS,,,175.00,562.00,46.00,59.90,KUNDAH-II HPS,,,175.00,562.00,37.00,65.72,KUNDAH-II HPS,,,175.00,492.00,37.00,42.41,700.00,2178.00,154.00,226.21
KUNDAH-III HPS,,,180.00,378.00,26.00,36.90,KUNDAH-III HPS,,,180.00,378.00,28.00,36.45,KUNDAH-III HPS,,,180.00,378.00,26.00,38.76,KUNDAH-III HPS,,,180.00,331.00,29.00,25.79,720.00,1465.00,109.00,137.90
KUNDAH-IV HPS,,,100.00,158.00,12.00,7.72,KUNDAH-IV HPS,,,100.00,158.00,12.00,5.54,KUNDAH-IV HPS,,,100.00,158.00,10.00,4.87,KUNDAH-IV HPS,,,100.00,140.00,10.00,3.26,400.00,614.00,44.00,21.39
KUNDAH-V HPS,,,40.00,65.00,2.00,6.30,KUNDAH-V HPS,,,40.00,65.00,3.00,7.68,KUNDAH-V HPS,,,40.00,65.00,3.00,1.92,KUNDAH-V HPS,,,40.00,40.00,3.00,6.17,160.00,235.00,11.00,22.07
LOWER METTUR-I HPS,,,30.00,64.00,6.00,7.74,LOWER METTUR-I HPS,,,30.00,64.00,2.00,1.63,LOWER METTUR-I HPS,,,30.00,64.00,2.00,2.27,LOWER METTUR-I HPS,,,30.00,52.00,1.00,1.53,120.00,244.00,11.00,13.17
LOWER METTUR-II HPS,,,30.00,55.00,5.00,7.43,LOWER METTUR-II HPS,,,30.00,55.00,2.00,1.63,LOWER METTUR-II HPS,,,30.00,55.00,2.00,2.21,LOWER METTUR-II HPS,,,30.00,45.00,1.00,1.81,120.00,210.00,10.00,13.08
LOWER METTUR-III HPS,,,30.00,68.00,7.00,6.95,LOWER METTUR-III HPS,,,30.00,68.00,2.00,1.35,LOWER METTUR-III HPS,,,30.00,68.00,2.00,2.02,LOWER METTUR-III HPS,,,30.00,56.00,1.00,1.35,120.00,260.00,12.00,11.67
LOWER METTUR-IV HPS,,,30.00,58.00,6.00,5.88,LOWER METTUR-IV HPS,,,30.00,58.00,2.00,1.01,LOWER METTUR-IV HPS,,,30.00,58.00,3.00,1.51,LOWER METTUR-IV HPS,,,30.00,44.00,1.00,0.31,120.00,218.00,12.00,8.71
METTUR DAM HPS,,,50.00,110.00,8.00,5.76,METTUR DAM HPS,,,50.00,110.00,4.00,9.08,METTUR DAM HPS,,,50.00,110.00,5.00,11.95,METTUR DAM HPS,,,50.00,105.00,4.00,11.77,200.00,435.00,21.00,38.56
METTUR TUNNEL HPS,,,200.00,300.00,22.00,37.64,METTUR TUNNEL HPS,,,200.00,300.00,1.00,0.00,METTUR TUNNEL HPS,,,200.00,300.00,1.00,0.00,METTUR TUNNEL HPS,,,200.00,259.00,1.00,0.00,800.00,1159.00,25.00,37.64
MOYAR  HPS,,,36.00,110.00,6.00,6.95,MOYAR  HPS,,,36.00,110.00,7.00,9.19,MOYAR  HPS,,,36.00,110.00,5.00,10.44,MOYAR  HPS,,,36.00,105.00,8.00,9.29,144.00,435.00,26.00,35.87
PAPANASAM HPS,,,32.00,118.00,9.00,13.26,PAPANASAM HPS,,,32.00,118.00,11.00,13.09,PAPANASAM HPS,,,32.00,118.00,2.00,10.00,PAPANASAM HPS,,,32.00,100.00,1.00,4.85,128.00,454.00,23.00,41.20
PARSON`S VALLEY HPS,,,30.00,50.00,4.00,4.89,PARSON`S VALLEY HPS,,,30.00,50.00,4.00,3.84,PARSON`S VALLEY HPS,,,30.00,50.00,4.00,0.00,PARSON`S VALLEY HPS,,,30.00,30.00,1.00,0.00,120.00,180.00,13.00,8.73
PERIYAR HPS,,,161.00,490.00,45.00,61.78,PERIYAR HPS,,,161.00,490.00,35.00,39.84,PERIYAR HPS,,,161.00,490.00,20.00,20.74,PERIYAR HPS,,,161.00,410.00,0.00,0.00,644.00,1880.00,100.00,122.36
PYKARA HPS,,,59.20,38.00,1.00,0.04,PYKARA HPS,,,59.20,38.00,1.00,0.01,PYKARA HPS,,,59.20,38.00,1.00,0.00,PYKARA HPS,,,59.20,35.00,2.00,0.03,236.80,149.00,5.00,0.08
PYKARA ULTMATE HPS,,,150.00,319.00,25.00,23.02,PYKARA ULTMATE HPS,,,150.00,319.00,20.00,27.35,PYKARA ULTMATE HPS,,,150.00,319.00,25.00,33.34,PYKARA ULTMATE HPS,,,150.00,305.00,24.00,31.72,600.00,1262.00,94.00,115.43
SARKARPATHY HPS,,,30.00,121.00,12.00,15.64,SARKARPATHY HPS,,,30.00,121.00,12.00,15.03,SARKARPATHY HPS,,,30.00,121.00,11.00,15.99,SARKARPATHY HPS,,,30.00,117.00,9.00,14.97,120.00,480.00,44.00,61.63
SHOLAYAR HPS (TN),,,70.00,254.00,29.00,41.23,SHOLAYAR HPS (TN),,,70.00,254.00,24.00,52.26,SHOLAYAR HPS (TN),,,70.00,254.00,27.00,34.44,SHOLAYAR HPS (TN),,,70.00,250.00,0.00,0.00,280.00,1012.00,80.00,127.93
SURULIYAR HPS,,,35.00,100.00,12.00,0.00,SURULIYAR HPS,,,35.00,100.00,7.00,0.00,SURULIYAR HPS,,,35.00,100.00,5.00,0.00,SURULIYAR HPS,,,35.00,85.00,1.00,0.00,140.00,385.00,25.00,0.00
TANGEDCO,HYDRO,,2178.20,4483.00,366.00,454.89,TANGEDCO,HYDRO,,2178.20,4483.00,291.00,366.21,TANGEDCO,HYDRO,,2178.20,4483.00,244.00,363.43,TANGEDCO,HYDRO,,2178.20,3913.00,178.00,241.15,8712.80,17362.00,1079.00,1425.68
STATE SECTOR,HYDRO,,2178.20,4483.00,366.00,454.89,STATE SECTOR,HYDRO,,2178.20,4483.00,291.00,366.21,STATE SECTOR,HYDRO,,2178.20,4483.00,244.00,363.43,STATE SECTOR,HYDRO,,2178.20,3913.00,178.00,241.15,8712.80,17362.00,1079.00,1425.68
PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,0.00,0.00,0.00,0.00
MUTHIARA TPP,,,1200.00,4000.00,340.00,0.00,MUTHIARA TPP,,,1200.00,4000.00,306.00,33.76,MUTHIARA TPP,,,1200.00,4000.00,342.00,56.27,MUTHIARA TPP,,,1200.00,3164.00,286.00,318.45,4800.00,15164.00,1274.00,408.48
CEPL,COAL,,1200.00,4000.00,340.00,0.00,CEPL,COAL,,1200.00,4000.00,306.00,33.76,CEPL,COAL,,1200.00,4000.00,342.00,56.27,CEPL,COAL,,1200.00,3164.00,286.00,318.45,4800.00,15164.00,1274.00,408.48
TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,1200.00,0.00,0.00,0.00
IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,1200.00,0.00,0.00,0.00
ITPCL TPP,,,1200.00,6500.00,624.00,313.11,ITPCL TPP,,,1200.00,6500.00,565.00,0.00,ITPCL TPP,,,1200.00,6500.00,625.00,84.16,ITPCL TPP,,,1200.00,4738.00,477.00,241.08,4800.00,24238.00,2291.00,638.35
ITPCL,COAL,,1200.00,6500.00,624.00,313.11,ITPCL,COAL,,1200.00,6500.00,565.00,0.00,ITPCL,COAL,,1200.00,6500.00,625.00,84.16,ITPCL,COAL,,1200.00,4738.00,477.00,241.08,4800.00,24238.00,2291.00,638.35
SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,424.00,0.00,0.00,0.00
MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,424.00,0.00,0.00,0.00
SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,422.80,0.00,0.00,0.00
SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,422.80,0.00,0.00,0.00
TUTICORIN TPP ST-IV,,,525.00,1490.00,127.00,0.00,TUTICORIN TPP ST-IV,,,525.00,1490.00,114.00,0.00,TUTICORIN TPP ST-IV,,,525.00,1490.00,126.00,0.00,TUTICORIN TPP ST-IV,,,525.00,2029.00,165.00,6.15,2100.00,6499.00,532.00,6.15
SEPCPPL,COAL,,525.00,1490.00,127.00,0.00,SEPCPPL,COAL,,525.00,1490.00,114.00,0.00,SEPCPPL,COAL,,525.00,1490.00,126.00,0.00,SEPCPPL,COAL,,525.00,2029.00,165.00,6.15,2100.00,6499.00,532.00,6.15
NEYVELI TPS(Z),,,250.00,1200.00,102.00,157.36,NEYVELI TPS(Z),,,250.00,1200.00,91.00,144.86,NEYVELI TPS(Z),,,250.00,1200.00,101.00,34.08,NEYVELI TPS(Z),,,250.00,1347.00,121.00,174.59,1000.00,4947.00,415.00,510.89
ST-CMSECP,COAL,,250.00,1200.00,102.00,157.36,ST-CMSECP,COAL,,250.00,1200.00,91.00,144.86,ST-CMSECP,COAL,,250.00,1200.00,101.00,34.08,ST-CMSECP,COAL,,250.00,1347.00,121.00,174.59,1000.00,4947.00,415.00,510.89
PVT SECTOR,THERMAL,,3686.70,13190.00,1193.00,470.47,PVT SECTOR,THERMAL,,3686.70,13190.00,1076.00,178.62,PVT SECTOR,THERMAL,,3686.70,13190.00,1194.00,174.51,PVT SECTOR,THERMAL,,3686.70,11278.00,1049.00,740.27,14746.80,50848.00,4512.00,1563.87
KARUPPUR CCPP,,,119.80,550.00,47.00,0.72,KARUPPUR CCPP,,,119.80,550.00,42.00,2.85,KARUPPUR CCPP,,,119.80,550.00,47.00,20.10,KARUPPUR CCPP,,,119.80,448.00,37.00,11.37,479.20,2098.00,173.00,35.04
ABAN POWR,NATURAL GAS,,119.80,550.00,47.00,0.72,ABAN POWR,NATURAL GAS,,119.80,550.00,42.00,2.85,ABAN POWR,NATURAL GAS,,119.80,550.00,47.00,20.10,ABAN POWR,NATURAL GAS,,119.80,448.00,37.00,11.37,479.20,2098.00,173.00,35.04
VALANTARVY CCPP,,,52.80,250.00,21.00,0.00,VALANTARVY CCPP,,,52.80,250.00,19.00,0.00,VALANTARVY CCPP,,,52.80,250.00,21.00,0.00,VALANTARVY CCPP,,,52.80,0.00,0.00,0.00,211.20,750.00,61.00,0.00
PENNA,NATURAL GAS,,52.80,250.00,21.00,0.00,PENNA,NATURAL GAS,,52.80,250.00,19.00,0.00,PENNA,NATURAL GAS,,52.80,250.00,21.00,0.00,PENNA,NATURAL GAS,,52.80,0.00,0.00,0.00,211.20,750.00,61.00,0.00
P.NALLUR CCPP,,,330.50,50.00,4.00,0.00,P.NALLUR CCPP,,,330.50,50.00,4.00,0.00,P.NALLUR CCPP,,,330.50,50.00,4.00,0.00,P.NALLUR CCPP,,,330.50,48.00,4.00,69.11,1322.00,198.00,16.00,69.11
PPNPGCL,NATURAL GAS,,330.50,50.00,4.00,0.00,PPNPGCL,NATURAL GAS,,330.50,50.00,4.00,0.00,PPNPGCL,NATURAL GAS,,330.50,50.00,4.00,0.00,PPNPGCL,NATURAL GAS,,330.50,48.00,4.00,69.11,1322.00,198.00,16.00,69.11
PVT SECTOR,NATURAL GAS,,503.10,850.00,72.00,0.72,PVT SECTOR,NATURAL GAS,,503.10,850.00,65.00,2.85,PVT SECTOR,NATURAL GAS,,503.10,850.00,72.00,20.10,PVT SECTOR,NATURAL GAS,,503.10,496.00,41.00,80.48,2012.40,3046.00,250.00,104.15
CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,0.00,0.00,0.00,0.00
NEYVELI ( EXT) TPS,,,420.00,2900.00,263.00,282.82,NEYVELI ( EXT) TPS,,,420.00,2900.00,238.00,280.79,NEYVELI ( EXT) TPS,,,420.00,2900.00,263.00,308.56,NEYVELI ( EXT) TPS,,,420.00,2901.00,201.00,303.33,1680.00,11601.00,965.00,1175.50
NEYVELI NEW TPP,,,1000.00,4800.00,439.00,627.76,NEYVELI NEW TPP,,,1000.00,4800.00,396.00,566.64,NEYVELI NEW TPP,,,1000.00,4800.00,439.00,600.90,NEYVELI NEW TPP,,,1000.00,5300.00,468.00,585.54,4000.00,19700.00,1742.00,2380.84
NEYVELI TPS-I,,,0.00,0.00,0.00,0.00,NEYVELI TPS-I,,,0.00,0.00,0.00,0.00,NEYVELI TPS-I,,,0.00,0.00,0.00,0.00,NEYVELI TPS-I,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NEYVELI TPS-II,,,1470.00,8480.00,782.00,827.55,NEYVELI TPS-II,,,1470.00,8480.00,708.00,799.27,NEYVELI TPS-II,,,1470.00,8480.00,782.00,861.41,NEYVELI TPS-II,,,1470.00,8399.00,758.00,975.41,5880.00,33839.00,3030.00,3463.64
NEYVELI TPS-II EXP,,,500.00,2690.00,274.00,122.63,NEYVELI TPS-II EXP,,,500.00,2690.00,246.00,187.81,NEYVELI TPS-II EXP,,,500.00,2690.00,274.00,70.21,NEYVELI TPS-II EXP,,,500.00,2398.00,178.00,164.98,2000.00,10468.00,972.00,545.63
NLC,COAL,,3390.00,18870.00,1758.00,1860.76,NLC,COAL,,3390.00,18870.00,1588.00,1834.51,NLC,COAL,,3390.00,18870.00,1758.00,1841.08,NLC,COAL,,3390.00,18998.00,1605.00,2029.26,13560.00,75608.00,6709.00,7565.61
VALLUR TPP,,,1500.00,8000.00,755.00,656.86,VALLUR TPP,,,1500.00,8000.00,681.00,645.34,VALLUR TPP,,,1500.00,8000.00,754.00,911.50,VALLUR TPP,,,1500.00,8143.00,783.00,955.49,6000.00,32143.00,2973.00,3169.19
NTECL,COAL,,1500.00,8000.00,755.00,656.86,NTECL,COAL,,1500.00,8000.00,681.00,645.34,NTECL,COAL,,1500.00,8000.00,754.00,911.50,NTECL,COAL,,1500.00,8143.00,783.00,955.49,6000.00,32143.00,2973.00,3169.19
NTPL TUTICORIN  TPP,,,1000.00,5600.00,505.00,328.02,NTPL TUTICORIN  TPP,,,1000.00,5600.00,457.00,291.18,NTPL TUTICORIN  TPP,,,1000.00,5600.00,505.00,307.83,NTPL TUTICORIN  TPP,,,1000.00,6491.00,617.00,314.47,4000.00,23291.00,2084.00,1241.50
NTPL,COAL,,1000.00,5600.00,505.00,328.02,NTPL,COAL,,1000.00,5600.00,457.00,291.18,NTPL,COAL,,1000.00,5600.00,505.00,307.83,NTPL,COAL,,1000.00,6491.00,617.00,314.47,4000.00,23291.00,2084.00,1241.50
CENTRAL ,THERMAL,,5890.00,32470.00,3018.00,2845.64,CENTRAL ,THERMAL,,5890.00,32470.00,2726.00,2771.03,CENTRAL ,THERMAL,,5890.00,32470.00,3017.00,3060.41,CENTRAL ,THERMAL,,5890.00,33632.00,3005.00,3299.22,23560.00,131042.00,11766.00,11976.30
KUDANKULAM,,,2000.00,12155.00,1274.00,1428.02,KUDANKULAM,,,2000.00,12155.00,716.00,1365.18,KUDANKULAM,,,2000.00,12155.00,633.00,1325.77,KUDANKULAM,,,2000.00,12213.00,593.00,724.55,8000.00,48678.00,3216.00,4843.52
MADRAS  A.P.S.,,,440.00,1635.00,139.00,147.14,MADRAS  A.P.S.,,,440.00,1635.00,125.00,75.05,MADRAS  A.P.S.,,,440.00,1635.00,140.00,169.09,MADRAS  A.P.S.,,,440.00,1531.00,126.00,140.61,1760.00,6436.00,530.00,531.89
NPCIL,NUCLEAR,,2440.00,13790.00,1413.00,1575.16,NPCIL,NUCLEAR,,2440.00,13790.00,841.00,1440.23,NPCIL,NUCLEAR,,2440.00,13790.00,773.00,1494.86,NPCIL,NUCLEAR,,2440.00,13744.00,719.00,865.16,9760.00,55114.00,3746.00,5375.41
CENTRAL ,NUCLEAR,,2440.00,13790.00,1413.00,1575.16,CENTRAL ,NUCLEAR,,2440.00,13790.00,841.00,1440.23,CENTRAL ,NUCLEAR,,2440.00,13790.00,773.00,1494.86,CENTRAL ,NUCLEAR,,2440.00,13744.00,719.00,865.16,9760.00,55114.00,3746.00,5375.41
TOTAL                  THERMAL,,,13896.70,73030.00,6658.00,5171.77,TOTAL                  THERMAL,,,13896.70,73030.00,6086.00,4834.22,TOTAL                  THERMAL,,,13896.70,73030.00,6738.00,5089.93,TOTAL                  THERMAL,,,13896.70,75456.00,6896.00,6118.57,55586.80,294546.00,26378.00,21214.49
TOTAL                  NUCLEAR,,,2440.00,13790.00,1413.00,1575.16,TOTAL                  NUCLEAR,,,2440.00,13790.00,841.00,1440.23,TOTAL                  NUCLEAR,,,2440.00,13790.00,773.00,1494.86,TOTAL                  NUCLEAR,,,2440.00,13744.00,719.00,865.16,9760.00,55114.00,3746.00,5375.41
TOTAL                  NATURAL GAS,,,1017.18,2360.00,201.00,153.38,TOTAL                  NATURAL GAS,,,1017.18,2360.00,182.00,134.84,TOTAL                  NATURAL GAS,,,1017.18,2360.00,200.00,159.54,TOTAL                  NATURAL GAS,,,1017.18,1961.00,167.00,214.73,4068.72,9041.00,750.00,662.49
TOTAL                  HYDRO,,,2178.20,4483.00,366.00,454.89,TOTAL                  HYDRO,,,2178.20,4483.00,291.00,366.21,TOTAL                  HYDRO,,,2178.20,4483.00,244.00,363.43,TOTAL                  HYDRO,,,2178.20,3913.00,178.00,241.15,8712.80,17362.00,1079.00,1425.68
TOTAL  TAMIL NADU,,,19532.08,93663.00,8638.00,7355.20,TOTAL  TAMIL NADU,,,19532.08,93663.00,7400.00,6775.50,TOTAL  TAMIL NADU,,,19532.08,93663.00,7955.00,7107.76,TOTAL  TAMIL NADU,,,19532.08,95074.00,7960.00,7439.61,78128.32,376063.00,31953.00,28678.07
