PO_day,PO_date,PO_start_time,PO_end_time,PO_posting_date,PO_posting_time,PO_duration(Hrs),PO_start_time_short,PO_end_time_short
Thursday,2022-06-16 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-06-15 00:00:00,9:51:09 PM,5.0,09:00:00,14:00:00
Wednesday,2022-06-15 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-06-14 00:00:00,4:49:43 PM,5.0,09:00:00,14:00:00
Tuesday,2022-06-14 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-06-13 00:00:00,9:26:11 AM,5.0,09:00:00,14:00:00
Monday,2022-06-13 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-06-13 00:00:00,9:22:11 AM,5.0,09:00:00,14:00:00
Sunday,2022-11-06 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-06-11 00:00:00,9:36:52 AM,5.0,09:00:00,14:00:00
Thursday,2022-10-06 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-06-09 00:00:00,1:10:44 PM,5.0,09:00:00,14:00:00
Tuesday,2022-09-06 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-06-09 00:00:00,1:01:33 PM,5.0,09:00:00,14:00:00
Wednesday,2022-07-06 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-06-07 00:00:00,10:50:52 AM,5.0,09:00:00,14:00:00
Saturday,2022-08-06 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-06-06 00:00:00,10:24:11 PM,5.0,09:00:00,14:00:00
Sunday,2022-06-05 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-06-05 00:00:00,9:39:36 PM,5.0,09:00:00,14:00:00
Sunday,2022-09-04 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-04-09 00:00:00,8:04:55 AM,5.0,09:00:00,14:00:00
Saturday,2022-06-04 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-04-05 00:00:00,9:33:57 PM,5.0,09:00:00,14:00:00
Wednesday,2022-05-04 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-04-04 00:00:00,10:10:22 AM,5.0,09:00:00,14:00:00
Monday,2022-04-04 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-04-04 00:00:00,7:29:49 AM,5.0,09:00:00,14:00:00
Friday,2022-02-04 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-04-01 00:00:00,12:51:34 PM,5.0,09:00:00,14:00:00
Tuesday,2022-01-04 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-31 00:00:00,7:09:12 PM,5.0,09:00:00,14:00:00
Thursday,2022-03-31 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-30 00:00:00,5:24:01 PM,5.0,09:00:00,14:00:00
Wednesday,2022-03-30 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-29 00:00:00,9:53:01 PM,5.0,09:00:00,14:00:00
Tuesday,2022-03-29 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-28 00:00:00,10:06:52 AM,5.0,09:00:00,14:00:00
Saturday,2022-03-26 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-25 00:00:00,6:30:53 PM,5.0,09:00:00,14:00:00
Friday,2022-03-25 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-24 00:00:00,6:24:39 PM,5.0,09:00:00,14:00:00
Saturday,2022-03-19 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-18 00:00:00,9:34:30 PM,5.0,09:00:00,14:00:00
Friday,2022-03-18 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-17 00:00:00,1:02:00 PM,5.0,09:00:00,14:00:00
Thursday,2022-03-17 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-16 00:00:00,4:21:16 PM,5.0,09:00:00,14:00:00
Wednesday,2022-03-16 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-15 00:00:00,9:33:41 PM,5.0,09:00:00,14:00:00
Tuesday,2022-03-15 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-15 00:00:00,7:12:40 AM,5.0,09:00:00,14:00:00
Monday,2022-03-14 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-14 00:00:00,9:29:19 AM,5.0,09:00:00,14:00:00
Saturday,2022-12-03 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-11 00:00:00,9:15:22 AM,5.0,09:00:00,14:00:00
Thursday,2022-11-03 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-10 00:00:00,10:06:57 PM,5.0,09:00:00,14:00:00
Monday,2022-10-03 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-08 00:00:00,10:48:52 PM,5.0,09:00:00,14:00:00
Saturday,2022-09-03 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-08 00:00:00,10:31:08 PM,5.0,09:00:00,14:00:00
Wednesday,2022-08-03 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-07 00:00:00,5:35:19 PM,5.0,09:00:00,14:00:00
Sunday,2022-07-03 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-07 00:00:00,7:57:44 AM,5.0,09:00:00,14:00:00
Sunday,2022-04-03 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-03 00:00:00,10:31:54 AM,5.0,09:00:00,14:00:00
Thursday,2022-03-03 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-02 00:00:00,10:55:44 PM,5.0,09:00:00,14:00:00
Thursday,2022-02-03 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-03-01 00:00:00,2:58:55 PM,5.0,09:00:00,14:00:00
Monday,2022-01-03 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-02-28 00:00:00,8:50:55 AM,5.0,09:00:00,14:00:00
Monday,2022-02-28 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-02-26 00:00:00,10:14:43 PM,5.0,09:00:00,14:00:00
Saturday,2022-02-26 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-02-26 00:00:00,8:02:22 AM,5.0,09:00:00,14:00:00
Friday,2022-02-25 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-02-24 00:00:00,4:07:40 PM,5.0,09:00:00,14:00:00
Wednesday,2022-02-23 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-02-21 00:00:00,9:34:53 PM,5.0,09:00:00,14:00:00
Saturday,2022-01-29 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-01-28 00:00:00,9:20:09 PM,5.0,09:00:00,14:00:00
Friday,2022-01-28 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-01-26 00:00:00,9:12:04 PM,5.0,09:00:00,14:00:00
Thursday,2022-01-27 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-01-26 00:00:00,9:11:24 PM,5.0,09:00:00,14:00:00
Tuesday,2022-01-25 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-01-24 00:00:00,11:12:17 PM,5.0,09:00:00,14:00:00
Monday,2022-01-24 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-01-24 00:00:00,8:50:39 AM,5.0,09:00:00,14:00:00
Saturday,2022-01-22 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-01-22 00:00:00,8:09:10 AM,5.0,09:00:00,14:00:00
Friday,2022-01-21 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-01-20 00:00:00,9:41:14 PM,5.0,09:00:00,14:00:00
Thursday,2022-01-20 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-01-18 00:00:00,9:23:33 PM,5.0,09:00:00,14:00:00
Wednesday,2022-01-19 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-01-15 00:00:00,12:10:34 PM,5.0,09:00:00,14:00:00
Thursday,2022-12-01 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-01-12 00:00:00,8:25:46 AM,5.0,09:00:00,14:00:00
Saturday,2022-10-01 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-01-09 00:00:00,10:29:04 PM,5.0,09:00:00,14:00:00
Monday,2022-08-01 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-01-07 00:00:00,7:41:53 AM,5.0,09:00:00,14:00:00
Friday,2022-07-01 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-01-07 00:00:00,7:04:41 AM,5.0,09:00:00,14:00:00
Wednesday,2022-06-01 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-01-05 00:00:00,4:11:33 PM,5.0,09:00:00,14:00:00
Sunday,2022-05-01 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-01-04 00:00:00,8:06:20 AM,5.0,09:00:00,14:00:00
Friday,2022-04-01 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2022-01-01 00:00:00,10:17:47 PM,5.0,09:00:00,14:00:00
Friday,2021-12-31 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-12-31 00:00:00,9:58:53 AM,5.0,09:00:00,14:00:00
Thursday,2021-12-30 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-12-29 00:00:00,9:05:46 PM,5.0,09:00:00,14:00:00
Wednesday,2021-12-29 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-12-28 00:00:00,12:27:13 PM,5.0,09:00:00,14:00:00
Monday,2021-12-27 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-12-24 00:00:00,9:41:35 PM,5.0,09:00:00,14:00:00
Tuesday,2021-12-28 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-12-24 00:00:00,9:41:25 PM,5.0,09:00:00,14:00:00
Thursday,2021-12-23 00:00:00,1900-01-01 09:00:00,1900-01-01 17:00:00,2021-12-22 00:00:00,5:25:38 PM,8.0,09:00:00,17:00:00
Friday,2021-12-24 00:00:00,1900-01-01 09:00:00,1900-01-01 17:00:00,2021-12-22 00:00:00,5:23:12 PM,8.0,09:00:00,17:00:00
Wednesday,2021-12-22 00:00:00,1900-01-01 09:00:00,1900-01-01 17:00:00,2021-12-21 00:00:00,5:41:33 PM,8.0,09:00:00,17:00:00
Tuesday,2021-12-21 00:00:00,1900-01-01 09:00:00,1900-01-01 17:00:00,2021-12-19 00:00:00,9:17:26 PM,8.0,09:00:00,17:00:00
Monday,2021-12-20 00:00:00,1900-01-01 09:00:00,1900-01-01 17:00:00,2021-12-19 00:00:00,9:13:28 PM,8.0,09:00:00,17:00:00
Saturday,2021-12-18 00:00:00,1900-01-01 09:00:00,1900-01-01 17:00:00,2021-12-17 00:00:00,4:49:22 PM,8.0,09:00:00,17:00:00
Friday,2021-12-17 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-12-17 00:00:00,7:57:04 AM,7.0,09:00:00,16:00:00
Thursday,2021-12-16 00:00:00,1900-01-01 09:00:00,1900-01-01 17:00:00,2021-12-14 00:00:00,9:26:04 PM,8.0,09:00:00,17:00:00
Wednesday,2021-12-15 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-12-13 00:00:00,5:21:15 PM,7.0,09:00:00,16:00:00
Friday,2021-11-12 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-12-10 00:00:00,9:30:52 PM,7.0,09:00:00,16:00:00
Sunday,2021-09-12 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-12-08 00:00:00,9:28:59 PM,5.0,09:00:00,14:00:00
Tuesday,2021-10-12 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-12-08 00:00:00,9:28:14 PM,7.0,09:00:00,16:00:00
Thursday,2021-08-12 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-12-07 00:00:00,10:00:41 AM,5.0,09:00:00,14:00:00
Monday,2021-07-12 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-12-06 00:00:00,5:34:21 PM,5.0,09:00:00,14:00:00
Friday,2021-03-12 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-12-02 00:00:00,8:45:45 AM,5.0,09:00:00,14:00:00
Friday,2021-02-12 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-12-01 00:00:00,8:43:00 AM,5.0,09:00:00,14:00:00
Monday,2021-11-29 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-11-29 00:00:00,9:18:24 AM,5.0,09:00:00,14:00:00
Tuesday,2021-11-30 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-11-29 00:00:00,9:15:07 AM,5.0,09:00:00,14:00:00
Thursday,2021-11-25 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-11-25 00:00:00,7:05:16 AM,5.0,09:00:00,14:00:00
Friday,2021-11-26 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-11-25 00:00:00,7:05:08 AM,5.0,09:00:00,14:00:00
Wednesday,2021-11-24 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-11-22 00:00:00,9:35:58 PM,5.0,09:00:00,14:00:00
Friday,2021-11-19 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-11-17 00:00:00,6:10:28 PM,5.0,09:00:00,14:00:00
Wednesday,2021-11-17 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-11-15 00:00:00,9:30:07 PM,5.0,09:00:00,14:00:00
Monday,2021-10-11 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-11-09 00:00:00,10:16:23 AM,5.0,09:00:00,14:00:00
Friday,2021-06-11 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-11-05 00:00:00,9:52:41 PM,5.0,09:00:00,14:00:00
Wednesday,2021-08-11 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-11-05 00:00:00,9:52:17 PM,5.0,09:00:00,14:00:00
Saturday,2021-10-30 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-10-29 00:00:00,5:46:33 PM,7.0,09:00:00,16:00:00
Friday,2021-10-29 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-10-27 00:00:00,9:55:14 PM,7.0,09:00:00,16:00:00
Wednesday,2021-10-27 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-10-26 00:00:00,5:17:31 PM,7.0,09:00:00,16:00:00
Thursday,2021-10-28 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-10-26 00:00:00,5:09:54 PM,7.0,09:00:00,16:00:00
Tuesday,2021-10-26 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-10-25 00:00:00,9:39:01 PM,7.0,09:00:00,16:00:00
Monday,2021-10-25 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-10-24 00:00:00,6:04:57 PM,7.0,09:00:00,16:00:00
Saturday,2021-10-23 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-10-21 00:00:00,10:42:54 PM,7.0,09:00:00,16:00:00
Thursday,2021-10-21 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-10-19 00:00:00,9:33:14 PM,7.0,09:00:00,16:00:00
Monday,2021-10-18 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-10-17 00:00:00,10:11:21 PM,7.0,09:00:00,16:00:00
Saturday,2021-10-16 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-10-13 00:00:00,5:58:33 PM,7.0,09:00:00,16:00:00
Friday,2021-12-10 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-10-10 00:00:00,11:50:35 AM,7.0,09:00:00,16:00:00
Tuesday,2021-08-10 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-10-07 00:00:00,9:24:52 PM,7.0,09:00:00,16:00:00
Saturday,2021-07-10 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-10-06 00:00:00,9:27:20 PM,7.0,09:00:00,16:00:00
Thursday,2021-06-10 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-10-06 00:00:00,7:14:29 AM,7.0,09:00:00,16:00:00
Monday,2021-05-10 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-10-03 00:00:00,8:39:00 PM,7.0,09:00:00,16:00:00
Saturday,2021-04-10 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-10-03 00:00:00,8:35:54 PM,7.0,09:00:00,16:00:00
Sunday,2021-01-10 00:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,2021-09-30 00:00:00,7:14:27 AM,7.0,09:00:00,16:00:00
Thursday,2021-09-30 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-09-28 00:00:00,6:23:46 PM,5.0,09:00:00,14:00:00
Tuesday,2021-09-28 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-09-28 00:00:00,7:17:36 AM,5.0,09:00:00,14:00:00
Monday,2021-09-27 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-09-27 00:00:00,7:15:46 AM,5.0,09:00:00,14:00:00
Friday,2021-09-24 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-09-22 00:00:00,6:15:58 PM,5.0,09:00:00,14:00:00
Thursday,2021-09-23 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-09-22 00:00:00,6:10:10 PM,5.0,09:00:00,14:00:00
Wednesday,2021-09-22 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-09-20 00:00:00,9:41:32 PM,5.0,09:00:00,14:00:00
Monday,2021-09-20 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-09-19 00:00:00,10:47:44 PM,5.0,09:00:00,14:00:00
Saturday,2021-09-18 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-09-16 00:00:00,10:17:56 PM,5.0,09:00:00,14:00:00
Wednesday,2021-09-15 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-09-15 00:00:00,9:45:01 AM,5.0,09:00:00,14:00:00
Monday,2021-09-13 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-09-12 00:00:00,12:03:13 PM,5.0,09:00:00,14:00:00
Tuesday,2021-09-14 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-09-12 00:00:00,12:03:09 PM,5.0,09:00:00,14:00:00
Thursday,2021-09-09 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-09-08 00:00:00,10:52:06 PM,5.0,09:00:00,14:00:00
Monday,2021-08-09 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-09-07 00:00:00,10:37:27 PM,5.0,09:00:00,14:00:00
Tuesday,2021-03-09 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-09-02 00:00:00,12:50:32 PM,5.0,09:00:00,14:00:00
Tuesday,2021-02-09 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-09-01 00:00:00,11:49:39 AM,5.0,09:00:00,14:00:00
Saturday,2021-01-09 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-08-30 00:00:00,9:54:31 AM,5.0,09:00:00,14:00:00
Tuesday,2021-08-31 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-08-30 00:00:00,9:51:42 AM,5.0,09:00:00,14:00:00
Friday,2021-08-27 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-08-26 00:00:00,10:14:03 PM,5.0,09:00:00,14:00:00
Saturday,2021-08-28 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-08-26 00:00:00,10:03:44 PM,5.0,09:00:00,14:00:00
Thursday,2021-08-26 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-08-26 00:00:00,9:24:08 AM,5.0,09:00:00,14:00:00
Wednesday,2021-08-25 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-08-25 00:00:00,8:37:58 AM,5.0,09:00:00,14:00:00
Tuesday,2021-08-24 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-08-23 00:00:00,10:18:56 AM,5.0,09:00:00,14:00:00
Monday,2021-08-23 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-08-22 00:00:00,10:14:18 PM,5.0,09:00:00,14:00:00
Wednesday,2021-12-08 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-08-12 00:00:00,1:05:18 PM,5.0,09:00:00,14:00:00
Friday,2021-10-08 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-08-09 00:00:00,10:09:45 PM,5.0,09:00:00,14:00:00
Monday,2021-11-08 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-08-09 00:00:00,10:09:07 PM,5.0,09:00:00,14:00:00
Thursday,2021-07-08 00:00:00,1900-01-01 09:00:00,1900-01-01 17:00:00,2021-08-06 00:00:00,11:46:58 AM,8.0,09:00:00,17:00:00
Tuesday,2021-06-08 00:00:00,1900-01-01 09:00:00,1900-01-01 17:00:00,2021-08-06 00:00:00,9:32:34 AM,8.0,09:00:00,17:00:00
Monday,2021-02-08 00:00:00,1900-01-01 09:00:00,1900-01-01 17:00:00,2021-08-01 00:00:00,6:21:57 PM,8.0,09:00:00,17:00:00
Monday,2021-03-08 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-08-01 00:00:00,6:18:11 PM,5.0,09:00:00,14:00:00
Saturday,2021-07-31 00:00:00,1900-01-01 09:00:00,1900-01-01 17:00:00,2021-07-30 00:00:00,9:41:27 PM,8.0,09:00:00,17:00:00
Thursday,2021-07-29 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-07-28 00:00:00,9:04:00 AM,5.0,09:00:00,14:00:00
Wednesday,2021-07-28 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-07-28 00:00:00,8:47:29 AM,5.0,09:00:00,14:00:00
Monday,2021-07-26 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-07-26 00:00:00,9:24:11 AM,5.0,09:00:00,14:00:00
Tuesday,2021-07-27 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-07-24 00:00:00,9:54:53 AM,5.0,09:00:00,14:00:00
Friday,2021-07-23 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-07-23 00:00:00,7:45:09 AM,5.0,09:00:00,14:00:00
Saturday,2021-07-24 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-07-23 00:00:00,7:43:52 AM,5.0,09:00:00,14:00:00
Thursday,2021-07-22 00:00:00,1900-01-01 09:00:00,1900-01-01 17:00:00,2021-07-21 00:00:00,8:20:52 AM,8.0,09:00:00,17:00:00
Monday,2021-07-19 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-07-19 00:00:00,8:21:11 AM,5.0,09:00:00,14:00:00
Tuesday,2021-07-20 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-07-19 00:00:00,8:16:52 AM,5.0,09:00:00,14:00:00
Saturday,2021-07-17 00:00:00,1900-01-01 09:00:00,1900-01-01 14:00:00,2021-07-16 00:00:00,8:27:40 AM,5.0,09:00:00,14:00:00
Friday,2021-07-16 00:00:00,1900-01-01 09:00:00,1900-01-01 17:00:00,2021-07-15 00:00:00,10:08:55 AM,8.0,09:00:00,17:00:00
Thursday,2021-07-15 00:00:00,1900-01-01 09:00:00,1900-01-01 17:00:00,2021-07-13 00:00:00,9:38:11 PM,8.0,09:00:00,17:00:00
Tuesday,2021-12-07 00:00:00,1900-01-01 09:00:00,1900-01-01 17:00:00,2021-07-10 00:00:00,8:46:20 AM,8.0,09:00:00,17:00:00
Tuesday,2021-06-29 00:00:00,1900-01-01 09:00:00,1900-01-01 13:00:00,2021-06-28 00:00:00,10:23:59 PM,4.0,09:00:00,13:00:00
Sunday,2021-06-27 00:00:00,1900-01-01 09:00:00,1900-01-01 13:00:00,2021-06-26 00:00:00,6:02:34 PM,4.0,09:00:00,13:00:00
Monday,2021-06-28 00:00:00,1900-01-01 09:00:00,1900-01-01 13:00:00,2021-06-26 00:00:00,5:55:59 PM,4.0,09:00:00,13:00:00
Saturday,2021-06-26 00:00:00,1900-01-01 09:00:00,1900-01-01 13:00:00,2021-06-25 00:00:00,8:23:07 PM,4.0,09:00:00,13:00:00
Friday,2021-06-25 00:00:00,1900-01-01 09:00:00,1900-01-01 13:00:00,2021-06-24 00:00:00,2:53:09 PM,4.0,09:00:00,13:00:00
