District,Name of,Year of,2007-,2008-,2009-,2010-,2011-,2012-,2012-,2013-,2014-,2015-,2016-
,Power House,Operation,2008,2009,2010,2011,2012,2013,2013,2014,2015,2016,2017
Nilgiris,Pykara Power,,,,,,,,,,,,
,,1954,159.118,59.66,63.921,28.661,39.188,39.617,39.27,NA,38.452,56.153,12.498
,House,,,,,,,,,,,,
Nilgiris,Pykara Micro,,,,,,,,,,,,
,,1989,9.875,5.92,9.61,5.467,5.827,3.691,3.617,NA,7.225,5.438,3.301
,Hydel,,,,,,,,,,,,
Nilgiris,PUSHEP,2005,471.268,388.84,557.302,428.72,354.187,195.094,193.409,NA,365.832,279.237,191.753
Nilgiris,Moyar,1953,179.514,131.79,210.967,154.911,131.116,78.017,77.468,NA,144.185,115.642,48.973
Nilgiris,Maravakandi,,,,,,,,,,,,
,,1992,1.7,0.41,1.206,1.982,0.751,0.756,0.692,NA,0.539,0.971,0.321
,Micro Hydel,,,,,,,,,,,,
Nilgiris,Kundah – 6,,,,,,,,,,,,
,Parsons,2000,53.04,40.98,65.136,39.18,35.704,30.172,30.012,NA,34.656,25.498,23.986
,Valley,,,,,,,,,,,,
Nilgiris,Kundah 1,1964,346.071,284.1,278.018,255.092,217.451,181.296,180.589,NA,257.291,229.645,156.81
Nilgiris,Kundah 2,1964,903.016,753.07,733.422,655.977,577.02,453.954,453.174,NA,652.903,619.67,406.077
Coimbatore,Kundah 3,1978,547.769,437.52,435.921,387.923,348.08,264.472,262.836,NA,388.15,364.173,213.42
Coimbatore,Kundah 4,1978,225.389,137.58,166.705,136.84,156.401,71.097,70.831,NA,156.608,117.325,47.171
,,,,,,,,,,,,,
District,"Name ofPower House","Year ofOperation","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017"
Nilgiris,Kundah 5,1988,92.968,67.59,84.981,60.416,52.941,43.129,42.719,NA,93.212,37.607,43.215
Salem,Mettur Dam,1946,151.845,90.25,82.26,94.637,153.204,83.313,83.051,NA,106.742,92.138,44.162
Salem,Mettur Tunnel,1966,592.407,452.62,388.628,265.371,470.726,120.242,119.77,NA,335.189,245.864,80.35
Salem,"LMHEPBarrage 1",1987,94.001,102.6,80.066,70.981,107.585,46.64,45.877,NA,68.257,40.44,21.868
Salem,"LMHEPBarrage 2",1988,94.026,101.82,75.79,65.978,101.612,41.082,40.366,NA,69.489,62.221,23.593
Erode,"LMHEPBarrage 3",1987,91.487,103.39,76.443,66.531,105.481,40.75,39.69,NA,69.292,63.394,25.115
Erode,"LMHEPBarrage 4",1988,72.832,87,62.456,56.162,83.949,30.851,30.098,NA,55.91,53.858,19.486
Erode,"BhavaniKattalai PH-1",2006,90.947,98.41,74.496,71.225,97.15,70.915,70.139,NA,193.486,164.438,58.472
Erode,"BhavaniKattalai PH-2",2011,NA,NA,NA,NA,NA,NA,NA,NA,,,
Erode,"BhavaniKattalai PH-3",2013,NA,NA,NA,NA,NA,NA,NA,NA,,,
Erode,"BhavaniBarrage 2 PH",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42
,,,,,,,,,,,,,
District,"Name ofPower House","Year ofOperation","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017"
